cal_date,is_open,pretrade_date
20160601,1,20160531
20160602,1,20160601
20160603,1,20160602
20160604,0,20160603
20160605,0,20160603
20160606,1,20160603
20160607,1,20160606
20160608,1,20160607
20160609,0,20160608
20160610,0,20160608
20160611,0,20160608
20160612,0,20160608
20160613,1,20160608
20160614,1,20160613
20160615,1,20160614
20160616,1,20160615
20160617,1,20160616
20160618,0,20160617
20160619,0,20160617
20160620,1,20160617
20160621,1,20160620
20160622,1,20160621
20160623,1,20160622
20160624,1,20160623
20160625,0,20160624
20160626,0,20160624
20160627,1,20160624
20160628,1,20160627
20160629,1,20160628
20160630,1,20160629
20160701,1,20160630
20160702,0,20160701
20160703,0,20160701
20160704,1,20160701
20160705,1,20160704
20160706,1,20160705
20160707,1,20160706
20160708,1,20160707
20160709,0,20160708
20160710,0,20160708
20160711,1,20160708
20160712,1,20160711
20160713,1,20160712
20160714,1,20160713
20160715,1,20160714
20160716,0,20160715
20160717,0,20160715
20160718,1,20160715
20160719,1,20160718
20160720,1,20160719
20160721,1,20160720
20160722,1,20160721
20160723,0,20160722
20160724,0,20160722
20160725,1,20160722
20160726,1,20160725
20160727,1,20160726
20160728,1,20160727
20160729,1,20160728
20160730,0,20160729
20160731,0,20160729
20160801,1,20160729
20160802,1,20160801
20160803,1,20160802
20160804,1,20160803
20160805,1,20160804
20160806,0,20160805
20160807,0,20160805
20160808,1,20160805
20160809,1,20160808
20160810,1,20160809
20160811,1,20160810
20160812,1,20160811
20160813,0,20160812
20160814,0,20160812
20160815,1,20160812
20160816,1,20160815
20160817,1,20160816
20160818,1,20160817
20160819,1,20160818
20160820,0,20160819
20160821,0,20160819
20160822,1,20160819
20160823,1,20160822
20160824,1,20160823
20160825,1,20160824
20160826,1,20160825
20160827,0,20160826
20160828,0,20160826
20160829,1,20160826
20160830,1,20160829
20160831,1,20160830
20160901,1,20160831
20160902,1,20160901
20160903,0,20160902
20160904,0,20160902
20160905,1,20160902
20160906,1,20160905
20160907,1,20160906
20160908,1,20160907
20160909,1,20160908
20160910,0,20160909
20160911,0,20160909
20160912,1,20160909
20160913,1,20160912
20160914,1,20160913
20160915,0,20160914
20160916,0,20160914
20160917,0,20160914
20160918,0,20160914
20160919,1,20160914
20160920,1,20160919
20160921,1,20160920
20160922,1,20160921
20160923,1,20160922
20160924,0,20160923
20160925,0,20160923
20160926,1,20160923
20160927,1,20160926
20160928,1,20160927
20160929,1,20160928
20160930,1,20160929
