cal_date,is_open
20160601,1
20160602,1
20160603,1
20160604,0
20160605,0
20160606,1
20160607,1
20160608,1
20160609,0
20160610,0
20160611,0
20160612,0
20160613,1
20160614,1
20160615,1
20160616,1
20160617,1
20160618,0
20160619,0
20160620,1
20160621,1
20160622,1
20160623,1
20160624,1
20160625,0
20160626,0
20160627,1
20160628,1
20160629,1
20160630,1
20160701,1
20160702,0
20160703,0
20160704,1
20160705,1
20160706,1
20160707,1
20160708,1
20160709,0
20160710,0
20160711,1
20160712,1
20160713,1
20160714,1
20160715,1
20160716,0
20160717,0
20160718,1
20160719,1
20160720,1
20160721,1
20160722,1
20160723,0
20160724,0
20160725,1
20160726,1
20160727,1
20160728,1
20160729,1
20160730,0
20160731,0
20160801,1
20160802,1
20160803,1
20160804,1
20160805,1
20160806,0
20160807,0
20160808,1
20160809,1
20160810,1
20160811,1
20160812,1
20160813,0
20160814,0
20160815,1
20160816,1
20160817,1
20160818,1
20160819,1
20160820,0
20160821,0
20160822,1
20160823,1
20160824,1
20160825,1
20160826,1
20160827,0
20160828,0
20160829,1
20160830,1
20160831,1
20160901,1
20160902,1
20160903,0
20160904,0
20160905,1
20160906,1
20160907,1
20160908,1
20160909,1
20160910,0
20160911,0
20160912,1
20160913,1
20160914,1
20160915,0
20160916,0
20160917,0
20160918,0
20160919,1
20160920,1
20160921,1
20160922,1
20160923,1
20160924,0
20160925,0
20160926,1
20160927,1
20160928,1
20160929,1
20160930,1
20161001,0
20161002,0
20161003,0
20161004,0
20161005,0
20161006,0
20161007,0
20161008,0
20161009,0
20161010,1
20161011,1
20161012,1
20161013,1
20161014,1
20161015,0
20161016,0
20161017,1
20161018,1
20161019,1
20161020,1
20161021,1
20161022,0
20161023,0
20161024,1
20161025,1
20161026,1
20161027,1
20161028,1
20161029,0
20161030,0
20161031,1
20161101,1
20161102,1
20161103,1
20161104,1
20161105,0
20161106,0
20161107,1
20161108,1
20161109,1
20161110,1
20161111,1
20161112,0
20161113,0
20161114,1
20161115,1
20161116,1
20161117,1
20161118,1
20161119,0
20161120,0
20161121,1
20161122,1
20161123,1
20161124,1
20161125,1
20161126,0
20161127,0
20161128,1
20161129,1
20161130,1
20161201,1
20161202,1
20161203,0
20161204,0
20161205,1
20161206,1
20161207,1
20161208,1
20161209,1
20161210,0
20161211,0
20161212,1
20161213,1
20161214,1
20161215,1
20161216,1
20161217,0
20161218,0
20161219,1
20161220,1
20161221,1
20161222,1
20161223,1
20161224,0
20161225,0
20161226,1
20161227,1
20161228,1
20161229,1
20161230,1
20161231,0
20170101,0
20170102,0
20170103,1
20170104,1
20170105,1
20170106,1
20170107,0
20170108,0
20170109,1
20170110,1
20170111,1
20170112,1
20170113,1
20170114,0
20170115,0
20170116,1
20170117,1
20170118,1
20170119,1
20170120,1
20170121,0
20170122,0
20170123,1
20170124,1
20170125,1
20170126,1
20170127,0
20170128,0
20170129,0
20170130,0
20170131,0
20170201,0
20170202,0
20170203,1
20170204,0
20170205,0
20170206,1
20170207,1
20170208,1
20170209,1
20170210,1
20170211,0
20170212,0
20170213,1
20170214,1
20170215,1
20170216,1
20170217,1
20170218,0
20170219,0
20170220,1
20170221,1
20170222,1
20170223,1
20170224,1
20170225,0
20170226,0
20170227,1
20170228,1
20170301,1
20170302,1
20170303,1
20170304,0
20170305,0
20170306,1
20170307,1
20170308,1
20170309,1
20170310,1
20170311,0
20170312,0
20170313,1
20170314,1
20170315,1
20170316,1
20170317,1
20170318,0
20170319,0
20170320,1
20170321,1
20170322,1
20170323,1
20170324,1
20170325,0
20170326,0
20170327,1
20170328,1
20170329,1
20170330,1
20170331,1
20170401,0
20170402,0
20170403,0
20170404,0
20170405,1
20170406,1
20170407,1
20170408,0
20170409,0
20170410,1
20170411,1
20170412,1
20170413,1
20170414,1
20170415,0
20170416,0
20170417,1
20170418,1
20170419,1
20170420,1
20170421,1
20170422,0
20170423,0
20170424,1
20170425,1
20170426,1
20170427,1
20170428,1
20170429,0
20170430,0
20170501,0
20170502,1
20170503,1
20170504,1
20170505,1
20170506,0
20170507,0
20170508,1
20170509,1
20170510,1
20170511,1
20170512,1
20170513,0
20170514,0
20170515,1
20170516,1
20170517,1
20170518,1
20170519,1
20170520,0
20170521,0
20170522,1
20170523,1
20170524,1
20170525,1
20170526,1
20170527,0
20170528,0
20170529,0
20170530,0
20170531,1
20170601,1
20170602,1
20170603,0
20170604,0
20170605,1
20170606,1
20170607,1
20170608,1
20170609,1
20170610,0
20170611,0
20170612,1
20170613,1
20170614,1
20170615,1
20170616,1
20170617,0
